id	geonames_id	name	latitude	longitude	population	feature_code
plc_01m0n2yy0fqhe7zdmzwhzes4ss	2642637	Mickle Trafford	53.22146	-2.83225	1822	PPL
plc_01m0n2yy0fqhe7zdmzwme080a0	2642639	Mickleton	52.09152	-1.76623	1554	PPL
plc_01m0n2yy0fqhe7zdmzwq3sz26v	2642642	Mickleham	51.26549	-0.32719	585	PPLA4
plc_01m0n2yy0fqhe7zdmzwqeqzvnq	2642648	Michelmersh	51.03227	-1.50496	881	PPL
plc_01m0n2yy0fqhe7zdmzwqk4jq55	2642683	Mexborough	53.49389	-1.29243	15079	PPL
plc_01m0n2yy0fqhe7zdmzwtwv74kn	2642687	Mevagissey	50.27324	-4.79166	2117	PPL
plc_01m0n2yy0fqhe7zdmzwx1cnaje	2642689	Methwold	52.52332	0.55402	914	PPL
plc_01m0n2yy0fqhe7zdmzx00vj8cg	2642691	Methven	56.41737	-3.57832	1200	PPL
plc_01m0n2yy0fqhe7zdmzx0ckkm1b	2642693	Methley	53.72887	-1.40318	1184	PPL
plc_01m0n2yy0fqhe7zdmzx0mw7hbd	2642694	Methil	56.18543	-3.02157	10890	PPL
plc_01m0n2yy0fqhe7zdmzx1msdtn8	2642695	Metheringham	53.14015	-0.40368	3605	PPL
plc_01m0n2yy0fqhe7zdmzx3mzhxye	2642697	Messingham	53.52828	-0.65385	3496	PPL
plc_01m0n2yy0fqhe7zdmzx4xc3zn3	2642704	Merton	50.88333	-4.1	740	PPL
plc_01m0n2yy0fqhe7zdmzx6kaavc6	2642705	Merthyr Tydfil	51.74794	-3.37779	43820	PPLA2
plc_01m0n2yy0fqhe7zdmzx9157vb2	2642711	Merstham	51.25969	-0.15728	8123	PPL
plc_01m0n2yy0fqhe7zdmzxava811n	2642712	Mersham	51.1192	0.93307	806	PPL
plc_01m0n2yy0fqhe7zdmzxcqsm3yy	2642720	Merrow	51.24552	-0.53136	8036	PPLX
plc_01m0n2yy0fqhe7zdmzxfn2dm96	2642727	Meriden	52.4377	-1.64366	1753	PPLA3
plc_01m0n2yy0fqhe7zdmzxj434qc0	2642730	Mere	51.08889	-2.26694	2686	PPLA3
plc_01m0n2yy0fqhe7zdmzxj7ct12p	2642731	Meppershall	52.01713	-0.33991	1745	PPLA3
plc_01m0n2yy0fqhe7zdmzxjrb3qyp	2642732	Mepal	52.40425	0.11514	982	PPL
plc_01m0n2yy0fqhe7zdmzxmyv297x	2642733	Meopham	51.36844	0.36007	4361	PPL
plc_01m0n2yy0fqhe7zdmzxrnbjsws	2642734	Meonstoke	50.97751	-1.1276	833	PPL
plc_01m0n2yy0fqhe7zdmzxs55rdcf	2642743	Menston	53.89041	-1.74395	4764	PPL
plc_01m0n2yy0fqhe7zdmzxvyh4063	2642749	Menheniot	50.44006	-4.41194	782	PPL
plc_01m0n2yy0fqhe7zdmzxz9jqp4e	2642750	Mendlesham	52.25014	1.0813	884	PPL
plc_01m0n2yy0fqhe7zdmzy0wk78gf	2642755	Menai Bridge	53.22775	-4.16926	3376	PPL
plc_01m0n2yy0fqhe7zdmzy3b8xmr3	2642763	Melton Mowbray	52.76588	-0.88693	27737	PPL
plc_01m0n2yy0fqhe7zdmzy4639yrb	2642766	Meltham	53.59305	-1.84861	7836	PPLA3
