id	common_name	scientific_name	ebird_code
brd_01jzvcg890hpwgb32vtfdq3k63	Magnificent frigatebird	Fregata magnificens	magfri
brd_01jzvcg891ag4vgeycy7278fh2	Gannet	Morus bassanus	norgan
brd_01jzvcg892jnt95d502ag6amx8	Red-footed booby	Sula sula	refboo
brd_01jzvcg893egcdjpdptt12q23w	Brown booby	Sula leucogaster	brnboo
brd_01jzvcg894pp3jsxwqk635gfys	Cormorant	Phalacrocorax carbo	grecor
brd_01jzvcg895f1r6p9p4n8zrgv9e	Shag	Gulosus aristotelis	eursha1
brd_01jzvcg896v17r8tqta7jrtakf	Double-crested cormorant	Nannopterum auritum	doccor
brd_01jzvcg8979je0xjcm1xv6cq33	Glossy ibis	Plegadis falcinellus	gloibi
brd_01jzvcg898qcy73ec1qmccyvwy	Spoonbill	Platalea leucorodia	eurspo1
brd_01jzvcg899rw6mfgryx2b07bzf	Bittern	Botaurus stellaris	grebit1
brd_01jzvcg89ajw0aqwg04m5bfdx8	American bittern	Botaurus lentiginosus	amebit
brd_01jzvcg89bcexxhv5djx3c05k5	Least bittern	Botaurus exilis	leabit
brd_01jzvcg89cn99r1pztpj7a48hz	Little bittern	Botaurus minutus	litbit1
brd_01jzvcg89dyq69frqaz2dxa642	Night-heron	Nycticorax nycticorax	bcnher
brd_01jzvcg89eyyn8acyax3gk0msr	Green heron	Butorides virescens	grnher
brd_01jzvcg89fa04fg19vk77a6as3	Squacco heron	Ardeola ralloides	squher1
brd_01jzvcg89gffgt1hxz8b19hxjm	Chinese pond heron	Ardeola bacchus	chpher1
brd_01jzvcg89hgeykg1bak1908k27	Cattle egret	Ardea ibis	categr1
brd_01jzvcg89jwzpbj3vy1d3zgg8a	Grey heron	Ardea cinerea	graher1
brd_01jzvcg89kat007hd9xy15dry0	Great blue heron	Ardea herodias	grbher3
brd_01jzvcg89mq0kpnrpnbnj3wp5j	Purple heron	Ardea purpurea	purher1
brd_01jzvcg89nbkypeg0k4ym7hg1d	Great white egret	Ardea alba	greegr
brd_01jzvcg89prgf9m4tc2jg5wksn	Snowy egret	Egretta thula	snoegr
brd_01jzvcg89qs2gqpfz5bbhey5r2	Little egret	Egretta garzetta	litegr
brd_01jzvcg89rfvpxkb03ndj3r7sb	Dalmatian pelican	Pelecanus crispus	dalpel1
brd_01jzvcg89srrsbz7sj3yd2k2ma	Osprey	Pandion haliaetus	osprey
brd_01jzvcg89tnmt1240ryzcy6ngw	Black-winged Kite	Elanus caeruleus	bkskit1
brd_01jzvcg89vz73g8rzn0t4qw51f	Egyptian vulture	Neophron percnopterus	egyvul1
brd_01jzvcg89wgpt6fh1b6zqtw2x8	Honey-buzzard	Pernis apivorus	euhbuz1
brd_01jzvcg89xb67rb7ntejgy50nw	Short-toed eagle	Circaetus gallicus	shteag1
brd_01jzvcg89yr7etn1b0kr97sraq	Spotted eagle	Clanga clanga	grseag1
brd_01jzvcg89zppp4c7vr0a3vfw4v	Booted eagle	Hieraaetus pennatus	booeag1
brd_01jzvcg8a09vkm9yfk72k24tmw	Golden eagle	Aquila chrysaetos	goleag
brd_01jzvcg8a17pgrv03qjqsckxk3	Sparrowhawk	Accipiter nisus	eurspa1
brd_01jzvcg8a2dxdk79mdnb3fanwk	Goshawk	Accipiter gentilis	
brd_01jzvcg8a3qgqrdfhcnyktnzqr	Marsh harrier	Circus aeruginosus	wemhar1
brd_01jzvcg8a4vm3qjzt95tby9gps	Hen harrier	Circus cyaneus	norhar1
brd_01jzvcg8a50g5b7cmh55sr1jy3	Northern harrier	Circus hudsonius	norhar2
brd_01jzvcg8a66gfc2172zt06qe4z	Pallid harrier	Circus macrourus	palhar1
brd_01jzvcg8a7168x4f6vcagk5e8q	Montagu's harrier	Circus pygargus	monhar1
brd_01jzvcg8a8d47ndct8fk6tj733	Red kite	Milvus milvus	redkit1
brd_01jzvcg8a9baazj06pz2exn6x2	Black kite	Milvus migrans	blakit1
brd_01jzvcg8aa65va3zv7ttdg69g4	White-tailed eagle	Haliaeetus albicilla	whteag
brd_01jzvcg8abaqtp58sx99bf6r0g	Rough-legged buzzard	Buteo lagopus	rolhaw
brd_01jzvcg8acw36pxtv7p6qz78h3	Buzzard	Buteo buteo	combuz1
brd_01jzvcg8ad5dnszbvaz3ghfst6	Long-legged Buzzard	Buteo rufinus	lolbuz1
brd_01jzvcg8aezg01cm94ysj0wwd1	Western barn owl	Tyto alba	webowl1
brd_01jzvcg8afpw0s0z1twyybrest	Tengmalm's owl	Aegolius funereus	borowl
brd_01jzvcg8ageqg48v1b9j55419y	Little owl	Athene noctua	litowl1
brd_01jzvcg8ahzxdf9mq703188bwj	Hawk owl	Surnia ulula	nohowl
brd_01jzvcg8ajckw61vcce7x7hp7z	Scops owl	Otus scops	eursco1
brd_01jzvcg8ak0jwjefv3qntvxa25	Long-eared owl	Asio otus	loeowl
brd_01jzvcg8am2crq2da2qw720wp4	Short-eared owl	Asio flammeus	sheowl
brd_01jzvcg8anq1tk02awf3x0ykbe	Snowy owl	Bubo scandiacus	snoowl1
brd_01jzvcg8ap8rbwfbkqf5vzvq8w	Tawny owl	Strix aluco	tawowl1
brd_01jzvcg8aqb1vjnrmgnq6j9az7	Eurasian hoopoe	Upupa epops	hoopoe
brd_01jzvcg8arbr2ygbkpmran3r9d	European roller	Coracias garrulus	eurrol1
brd_01jzvcg8ass5v3smbha0xgmez9	Kingfisher	Alcedo atthis	comkin1
brd_01jzvcg8at4b23qtrxcvg4zy1b	Belted kingfisher	Megaceryle alcyon	belkin1
brd_01jzvcg8avysyha2sgkq1gw1wd	Blue-cheeked bee-eater	Merops persicus	bcbeat1
brd_01jzvcg8awd857wwsqw1fwx3pf	Bee-eater	Merops apiaster	eubeat1
brd_01jzvcg8axmca21qay9kkt75qn	Wryneck	Jynx torquilla	eurwry
brd_01jzvcg8ayd4j25jkvw0dk2vx2	Yellow-bellied sapsucker	Sphyrapicus varius	yebsap
brd_01jzvcg8azdrdnj8ysvbcgy8t4	Lesser spotted woodpecker	Dryobates minor	leswoo1
brd_01jzvcg8b0132yrsg8yht8m8js	Great spotted woodpecker	Dendrocopos major	grswoo
brd_01jzvcg8b1egy352q1yxr5pm5t	Green woodpecker	Picus viridis	eugwoo2
brd_01jzvcg8b28zz23k8d6erxjx37	Lesser kestrel	Falco naumanni	leskes1
brd_01jzvcg8b3tqf140mvxq2wm08y	Kestrel	Falco tinnunculus	eurkes
brd_01jzvcg8b42rcnpe86cfkah52f	American kestrel	Falco sparverius	amekes
brd_01jzvcg8b58kx9rwt9cmq3jtq0	Red-footed falcon	Falco vespertinus	reffal1
brd_01jzvcg8b6h90k87ecpwg7cvsc	Amur falcon	Falco amurensis	amufal1
brd_01jzvcg8b724tf8jbtz5y0d5ky	Eleonora's falcon	Falco eleonorae	elefal1
brd_01jzvcg8b8vrj1fygnnfkf2tsd	Merlin	Falco columbarius	merlin
brd_01jzvcg8b905f0a171k1eb2163	Hobby	Falco subbuteo	eurhob
brd_01jzvcg8ba3dqe64smdvkqnc0a	Gyr falcon	Falco rusticolus	gyrfal
brd_01jzvcg8bb0fvkddzrassba9dk	Peregrine	Falco peregrinus	perfal
brd_01jzvcg8bcm9867s562940wajf	Ring-necked parakeet	Psittacula krameri	rorpar
brd_01jzvcg8bdd22b3g9nat7mh3cq	Eastern phoebe	Sayornis phoebe	easpho
brd_01jzvcg8be59jzg24gyh7117b1	Yellow-bellied flycatcher	Empidonax flaviventris	yebfly
brd_01jzvcg8bfded0ncdj628a18r6	Acadian flycatcher	Empidonax virescens	acafly
brd_01jzvcg8bgczbsa7zsnq0kgc9w	Alder flycatcher	Empidonax alnorum	aldfly
brd_01jzvcg8bh7dp0zkfg9jh3g7z3	Eastern kingbird	Tyrannus tyrannus	easkin
brd_01jzvcg8bj7t8rgcz3ja83qrts	Brown shrike	Lanius cristatus	brnshr
brd_01jzvcg8bkgq168k5vsdsmd31g	Red-backed shrike	Lanius collurio	rebshr1
brd_01jzvcg8bmb6ahz2km4b6xekp6	Daurian shrike	Lanius isabellinus	isashr1
brd_01jzvcg8bn16m3zpqtmw838ap7	Turkestan shrike	Lanius phoenicuroides	rutshr2
brd_01jzvcg8bpf2gryak8brk2ramp	Long-tailed shrike	Lanius schach	lotshr1
brd_01jzvcg8bqt8srkew6vrt1j3hb	Lesser grey shrike	Lanius minor	legshr2
brd_01jzvcg8br54e0jcawp8k9rgye	Great grey shrike	Lanius excubitor	norshr1
brd_01jzvcg8bsyxx6hbxpr5s6bh0v	Woodchat shrike	Lanius senator	wooshr1
brd_01jzvcg8bt9zqnapxymn6qkm0k	Masked shrike	Lanius nubicus	masshr1
brd_01jzvcg8bvex204j667tbscmzn	Yellow-throated vireo	Vireo flavifrons	yetvir
brd_01jzvcg8bw2pjvx7na1k98rc4z	Philadelphia vireo	Vireo philadelphicus	phivir
brd_01jzvcg8bxtmmch39zhh5rep5h	Red-eyed vireo	Vireo olivaceus	reevir1
brd_01jzvcg8bywt40ndfqh87jzntq	Golden oriole	Oriolus oriolus	eugori2
brd_01jzvcg8bza1yqh23q7s73dr2g	Jay	Garrulus glandarius	eurjay1
brd_01jzvcg8c02h8xqzw9af2hjcgz	Magpie	Pica pica	eurmag1
brd_01jzvcg8c1stvyjxytqkwcdev7	Nutcracker	Nucifraga caryocatactes	eurnut3
brd_01jzvcg8c2b0djm8xjmgdj2ee9	Chough	Pyrrhocorax pyrrhocorax	rebcho1
brd_01jzvcg8c3q4xyseectt7hx9t3	Jackdaw	Coloeus monedula	eurjac
brd_01jzvcg8c4x4ckx41z21h14vwc	Rook	Corvus frugilegus	rook1
brd_01jzvcg8c5c2xkszybjnv96bd4	Carrion crow	Corvus corone	carcro1
brd_01jzvcg8c6ymh8a647enre7p93	Hooded crow	Corvus cornix	hoocro1
brd_01jzvcg8c7khrnyc0qbhtet03e	Raven	Corvus corax	comrav
brd_01jzvcg8c8t78p8pj9qd2azg1j	Waxwing	Bombycilla garrulus	bohwax
brd_01jzvcg8c9ws473n207nj03n87	Cedar waxwing	Bombycilla cedrorum	cedwax
brd_01jzvcg8camqxdx94mawe29tgf	Coal tit	Periparus ater	coatit2
brd_01jzvcg8cb7rzywb7478j89s20	Crested tit	Lophophanes cristatus	cretit2
brd_01jzvcg8cc3gxxq4qe1z838rfg	Marsh tit	Poecile palustris	martit2
brd_01jzvcg8cdswj8z4xtv2g767fd	Willow tit	Poecile montana	
brd_01jzvcg8cep5fhh6v655hcxg7t	Blue tit	Cyanistes caeruleus	blutit
brd_01jzvcg8cf54zkbwt15f532g11	Great tit	Parus major	gretit1
brd_01jzvcg8cg13nxgy6eyz2wvmcp	Penduline tit	Remiz pendulinus	euptit1
brd_01jzvcg8ch0rkm4ah4d0z8dcd2	Bearded tit	Panurus biarmicus	bearee1
brd_01jzvcg8cj0369qmsa4vd321nq	Woodlark	Lullula arborea	woolar1
brd_01jzvcg8ckvwg2vpxqxz2r2ev1	White-winged lark	Alauda leucoptera	whwlar1
brd_01jzvcg8cmcvmv05g96jcg3g00	Skylark	Alauda arvensis	skylar
brd_01jzvcg8cnsb4vv0j7f3tz3brq	Crested lark	Galerida cristata	crelar1
brd_01jzvcg8cp5jd19q299cyzmqrh	Shore lark	Eremophila alpestris	horlar
brd_01jzvcg8cqjnjy3exqjpt780z5	Short-toed lark	Calandrella brachydactyla	gstlar1
brd_01jzvcg8crr810xk84r8jt3588	Bimaculated lark	Melanocorypha bimaculata	bimlar1
brd_01jzvcg8cs58m7ph268btvzyh5	Calandra lark	Melanocorypha calandra	callar1
brd_01jzvcg8ct0s80by1ptvm0f9xg	Black lark	Melanocorypha yeltoniensis	blalar1
brd_01jzvcg8cv9as5ad2v76re0mvr	Sand martin	Riparia riparia	banswa
brd_01jzvcg8cwjnanxxj5kxtyy275	Tree swallow	Tachycineta bicolor	treswa
brd_01jzvcg8cxycy0dv14gawgy0qr	Purple martin	Progne subis	purmar
brd_01jzvcg8cyspq2f901gstgqmx7	Crag martin	Ptyonoprogne rupestris	eurcrm1
brd_01jzvcg8czff3zd7vyj4fakj0k	Swallow	Hirundo rustica	barswa
brd_01jzvcg8d0rn8frpjwv94vkvj9	House martin	Delichon urbicum	comhom1
brd_01jzvcg8d172ahs8fw4h0x6y4d	Red-rumped swallow	Cecropis daurica	y00621
brd_01jzvcg8d20t3s2gj329d3342e	American cliff swallow	Petrochelidon pyrrhonota	cliswa
brd_01jzvcg8d378526rk31dax8cc2	Cetti's warbler	Cettia cetti	cetwar1
brd_01jzvcg8d4736vxa3njeyrvnzc	Long-tailed tit	Aegithalos caudatus	lottit1
brd_01jzvcg8d5eqgvbbcx42dezzhn	Wood warbler	Phylloscopus sibilatrix	woowar
brd_01jzvcg8d63715zykd5rhrbfjn	Western Bonelli's warbler	Phylloscopus bonelli	webwar1
brd_01jzvcg8d7xbkcgkc7467e5v41	Eastern Bonelli's warbler	Phylloscopus orientalis	eabwar1
brd_01jzvcg8d8456yfh5jqk8m8bff	Hume's warbler	Phylloscopus humei	humwar1
brd_01jzvcg8d92hyqr6dpgn07avbd	Yellow-browed warbler	Phylloscopus inornatus	yebwar3
brd_01jzvcg8da973sbw30rkdn6mz2	Pallas's warbler	Phylloscopus proregulus	palwar5
brd_01jzvcg8dbwfr94n28xn2cmft7	Radde's warbler	Phylloscopus schwarzi	radwar1
brd_01jzvcg8dc6tjaf31a6g4bsnye	Sulphur-bellied warbler	Phylloscopus griseolus	subwar2
brd_01jzvcg8ddbyzhkm4hc9nyvstp	Dusky warbler	Phylloscopus fuscatus	duswar
brd_01jzvcg8de6ghd8agj0yaxhv7f	Willow warbler	Phylloscopus trochilus	wlwwar
brd_01jzvcg8dfrrm1axx60w5r8j9s	Chiffchaff	Phylloscopus collybita	comchi1
brd_01jzvcg8dg6q2jh09b8nj64wen	Iberian chiffchaff	Phylloscopus ibericus	ibechi2
brd_01jzvcg8dh0tz519t9z3v4fk5q	Eastern crowned warbler	Phylloscopus coronatus	eacwar1
brd_01jzvcg8djyfekqkwbez0xaqft	Green warbler	Phylloscopus nitidus	grnwar1
brd_01jzvcg8dkbnf39x801b9grts6	Two-barred greenish warbler	Phylloscopus plumbeitarsus	grewar2
brd_01jzvcg8dmr3xx1rnnpahxkq0c	Greenish warbler	Phylloscopus trochiloides	grewar3
brd_01jzvcg8dnrqmtgdmtcw1d07ks	Pale-legged leaf warbler	Phylloscopus tenellipes	pllwar1
brd_01jzvcg8dpzgyy932e98kedj5t	Arctic warbler	Phylloscopus borealis	arcwar1
brd_01jzvcg8dq907xps5fbba94pn6	Great reed warbler	Acrocephalus arundinaceus	grrwar1
brd_01jzvcg8dr7mk99w231cjf1mgp	Aquatic warbler	Acrocephalus paludicola	aquwar1
brd_01jzvcg8dsksfkx2365jt9v1at	Sedge warbler	Acrocephalus schoenobaenus	sedwar1
brd_01jzvcg8dtvhxecz05xarx7ey9	Paddyfield warbler	Acrocephalus agricola	padwar1
brd_01jzvcg8dvxbe6wxkz2a8j2zfn	Blyth's reed warbler	Acrocephalus dumetorum	blrwar1
brd_01jzvcg8dwj8975twka5bkrqpr	Reed warbler	Acrocephalus scirpaceus	eurwar1
brd_01jzvcg8dxqpr3gg85wjzn5ybm	Marsh warbler	Acrocephalus palustris	marwar3
brd_01jzvcg8dy6aep4p0a8dmpxzg3	Thick-billed warbler	Arundinax aedon	thbwar1
brd_01jzvcg8dzpswetk3zt8znztrb	Booted warbler	Iduna caligata	boowar1
brd_01jzvcg8e0hyas1c271dymehhh	Sykes's warbler	Iduna rama	sykwar2
brd_01jzvcg8e10pz2s6kfxytpe6h8	Eastern olivaceous warbler	Iduna pallida	eaowar1
brd_01jzvcg8e29yfzdkmkbyq3z76b	Western olivaceous warbler	Iduna opaca	weowar1
brd_01jzvcg8e3s8bhafb8z84ysje9	Olive-tree warbler	Hippolais olivetorum	oltwar1
brd_01jzvcg8e4by312tgkx03d9699	Melodious warbler	Hippolais polyglotta	melwar1
brd_01jzvcg8e5rsrcgkp80dn7qr4q	Icterine warbler	Hippolais icterina	ictwar1
brd_01jzvcg8e6nzadfyx25tgsxyrg	Pallas's grasshopper warbler	Helopsaltes certhiola	pagwar1
brd_01jzvcg8e775527v2789ejt85j	Lanceolated warbler	Locustella lanceolata	lanwar
brd_01jzvcg8e8bavsfe23hqrd7g6j	River warbler	Locustella fluviatilis	eurwar2
brd_01jzvcg8e9y310txmbp0nkk867	Savi's warbler	Locustella luscinioides	savwar1
brd_01jzvcg8eabqhzvp3164x9dmwg	Grasshopper warbler	Locustella naevia	cogwar1
brd_01jzvcg8eb6wm7qhg80pn9xnhd	Fan-tailed warbler	Cisticola juncidis	zitcis1
brd_01jzvcg8ecwxzpj2vfdgfp3wyx	Blackcap	Sylvia atricapilla	blackc1
brd_01jzvcg8edc9b42twtfd29vhmv	Garden warbler	Sylvia borin	garwar1
brd_01jzvcg8ee8t0nedgznjma99v1	Barred warbler	Curruca nisoria	barwar1
brd_01jzvcg8efpty4fma5be4h606s	Lesser whitethroat	Curruca curruca	leswhi4
brd_01jzvcg8egnd21m3erft7ezqs5	Western Orphean warbler	Curucca hortensis	
brd_01jzvcg8ehckt1jrfa7mj6jhgp	Eastern Orphean warbler	Curucca crassirostris	
brd_01jzvcg8ejnptqaek5yat94my9	Asian desert warbler	Curruca nana	asdwar1
brd_01jzvcg8ekkf3n93pae1apwaz7	Rüppell's warbler	Curruca ruppeli	ruewar1
brd_01jzvcg8emzn3fmy4147knzd3z	Sardinian warbler	Curruca melanocephala	sarwar1
brd_01jzvcg8enemgyfqhwbf8s6hns	Western subalpine warbler	Curruca iberiae	subwar6
brd_01jzvcg8ep3fe9e4p6mk6z57r7	Moltoni's subalpine warbler	Curruca subalpina	subwar8
brd_01jzvcg8eqaz33s9te1wsnkjkd	Eastern subalpine warbler	Curruca cantillans	easwar1
brd_01jzvcg8erwkyyrgmzjhdaewmx	Whitethroat	Curruca communis	grewhi1
brd_01jzvcg8esc3h0ebbbha42qgzc	Spectacled warbler	Curruca conspicillata	spewar2
brd_01jzvcg8ety35x52kve3bnhvrx	Marmora's warbler	Curruca sarda	marwar1
brd_01jzvcg8ev14qx9tffnqy87ah6	Dartford warbler	Curruca undata	darwar1
brd_01jzvcg8ewxsz3k75zdvkhq11q	Ruby-crowned kinglet	Corthylio calendula	ruckin
brd_01jzvcg8ex7rdvcraws5d3wh18	Goldcrest	Regulus regulus	goldcr1
brd_01jzvcg8eymdv3acdze3jbv5v3	Firecrest	Regulus ignicapillus	
brd_01jzvcg8ez6apmbp6ft4v5y990	Wren	Troglodytes troglodytes	winwre4
brd_01jzvcg8f082ns5sag5xwdn20d	Red-breasted nuthatch	Sitta canadensis	rebnut
brd_01jzvcg8f1bd0ckxkzz3z6p5zy	Nuthatch	Sitta europaea	eurnut2
brd_01jzvcg8f22es1s4xshs4s61cb	Wallcreeper	Tichodroma muraria	wallcr1
brd_01jzvcg8f34k1edjeq31rhnsgg	Treecreeper	Certhia familiaris	eurtre1
brd_01jzvcg8f4j4w37gqqhy9av7z5	Short-toed treecreeper	Certhia brachydactyla	shttre1
brd_01jzvcg8f5nb57rnj177gn6833	Grey catbird	Dumetella carolinensis	grycat
brd_01jzvcg8f691bq256931mcj22g	Northern mockingbird	Mimus polyglottos	normoc
brd_01jzvcg8f717sfqms4hgjryhya	Brown thrasher	Toxostoma rufum	brnthr
brd_01jzvcg8f85thba67t18t3fj70	Rose-coloured starling	Pastor roseus	rossta2
brd_01jzvcg8f9m13s3k26w7fhp0dw	Starling	Sturnus vulgaris	eursta
brd_01jzvcg8farfnmgysd7prjpr4b	Varied thrush	Ixoreus naevius	varthr
brd_01jzvcg8fbtt35gdggmb9hrr32	Wood thrush	Hylocichla mustelina	woothr
brd_01jzvcg8fcc8rprt9aem9p0ahd	Swainson's thrush	Catharus ustulatus	swathr
brd_01jzvcg8fd9hv28ph8y4b0fzx5	Hermit thrush	Catharus guttatus	herthr
brd_01jzvcg8fekn8wyvy1pgrzt0e7	Grey-cheeked thrush	Catharus minimus	gycthr
brd_01jzvcg8ff0xfcx3cyd0hnbyad	Veery	Catharus fuscescens	veery
brd_01jzvcg8fgktfzkawh8fjsk5v1	White's thrush	Zoothera aurea	scathr2
brd_01jzvcg8fh0ajtwqjfayshyhyd	Siberian thrush	Geokichla sibirica	sibthr1
brd_01jzvcg8fj6141b0b6ate34s5g	Song thrush	Turdus philomelos	sonthr1
brd_01jzvcg8fkhfmf71d0g08s206w	Mistle thrush	Turdus viscivorus	misthr1
brd_01jzvcg8fm09qqyff34w803v0f	Redwing	Turdus iliacus	redwin
brd_01jzvcg8fnvbexenms5137zfmh	Blackbird	Turdus merula	eurbla
brd_01jzvcg8fp8sjv9y1pcr6zwc9y	Eyebrowed thrush	Turdus obscurus	eyethr
brd_01jzvcg8fqnaevy4xeh783y5vw	Fieldfare	Turdus pilaris	fieldf
brd_01jzvcg8frecj5kr0c4evx94k7	Ring ouzel	Turdus torquatus	rinouz1
brd_01jzvcg8fsnqrd5re1n7x1q6vj	Black-throated thrush	Turdus atrogularis	datthr1
brd_01jzvcg8ftzj8a6hn1wfj8xnws	Red-throated thrush	Turdus ruficollis	retthr1
brd_01jzvcg8fv2dfpjj298r54qka9	Dusky thrush	Turdus eunomus	dusthr2
brd_01jzvcg8fw2b9c3zv23w540nx2	Naumann's thrush	Turdus naumanni	dusthr1
brd_01jzvcg8fx97q58myts7wba73v	American robin	Turdus migratorius	amerob
brd_01jzvcg8fyk04emqqn1g0x6ppw	Rufous-tailed scrub robin	Cercotrichas galactotes	rutscr1
brd_01jzvcg8fzkzht5cpkfe312xwb	Spotted flycatcher	Muscicapa striata	spofly1
brd_01jzvcg8g0has84436vptmxzfc	Asian brown flycatcher	Muscicapa dauurica	asbfly
brd_01jzvcg8g15czb42dhx6wd3mnk	Robin	Erithacus rubecula	eurrob1
brd_01jzvcg8g2h8f7dvz9vy3wcy6f	Siberian blue robin	Larvivora cyanea	
brd_01jzvcg8g3j6c3n22xazvypmxe	Rufous-tailed robin	Larvivora sibilans	rutrob1
brd_01jzvcg8g4m6bxvhb8ww4ar07x	Bluethroat	Luscinia svecica	blueth
brd_01jzvcg8g5cp0e4gvh7gghxr37	Thrush nightingale	Luscinia luscinia	thrnig1
brd_01jzvcg8g6mrn894t2t69x5h9p	Nightingale	Luscinia megarhynchos	comnig1
brd_01jzvcg8g7k8stm7dtvvfymyb1	White-throated robin	Irania gutturalis	whtrob3
brd_01jzvcg8g8rtceqjb6f67phnkg	Siberian rubythroat	Calliope calliope	sibrub
brd_01jzvcg8g9ydfmwzkpxtk77t15	Red-flanked bluetail	Tarsiger cyanurus	refblu1
brd_01jzvcg8gar07460pzgy96721c	Taiga flycatcher	Ficedula albicilla	taifly1
brd_01jzvcg8gb248mg1r5xae9am8g	Red-breasted flycatcher	Ficedula parva	rebfly
brd_01jzvcg8gc7r6hv41zdvrrk9xp	Pied flycatcher	Ficedula hypoleuca	eupfly1
brd_01jzvcg8gdash6hqm7yfswb1d8	Collared flycatcher	Ficedula albicollis	colfly1
brd_01jzvcg8ge3dhq182d154vrp3t	Black redstart	Phoenicurus ochruros	blared1
brd_01jzvcg8gfmnc7v98rm75ccj34	Redstart	Phoenicurus phoenicurus	comred2
brd_01jzvcg8gg27m8z9794sxg645x	Moussier's redstart	Phoenicurus moussieri	moured1
brd_01jzvcg8ghhmdx49hsankc5pat	Rock thrush	Monticola saxatilis	rtrthr1
brd_01jzvcg8gjy4488ew3pvhk3ey4	Blue rock thrush	Monticola solitarius	burthr
brd_01jzvcg8gkxyxs2z7s1bn3h42t	Whinchat	Saxicola rubetra	whinch1
brd_01jzvcg8gmkghjs9g39pmywqdy	Stonechat	Saxicola rubicola	stonec4
brd_01jzvcg8gn6jjtgj568vvs6ht9	Siberian stonechat	Saxicola maurus	sibsto1
brd_01jzvcg8gpmr3mgnndttt42qbv	Stejneger's stonechat	Saxicola stejnegeri	stonec7
brd_01jzvcg8gqfg5bsahwdpnf1pa8	Wheatear	Oenanthe oenanthe	norwhe
brd_01jzvcg8gr3jegabm6c3cpv00v	Isabelline wheatear	Oenanthe isabellina	isawhe1
brd_01jzvcg8gsr27p4xjej2zjj7vq	Desert wheatear	Oenanthe deserti	deswhe1
brd_01jzvcg8gtya7v97fe1fhfstad	Western black-eared wheatear	Oenanthe hispanica	bkewhe1
brd_01jzvcg8gvc2tg2bc3d3vr8d3g	Eastern black-eared wheatear	Oenanthe melanoleuca	bkewhe2
brd_01jzvcg8gw70btzp6nhnrsqcss	Pied wheatear	Oenanthe pleschanka	piewhe1
brd_01jzvcg8gxczmbmpkmc6jjzf60	White-crowned black wheatear	Oenanthe leucopyga	whtwhe1
brd_01jzvcg8gytda0xt5w209792xy	Dipper	Cinclus cinclus	whtdip1
brd_01jzvcg8gzjbdt2ctnc2dhsxcw	Rock sparrow	Petronia petronia	rocpet1
brd_01jzvcg8h0h0s76q3r0b3x0fzg	Tree sparrow	Passer montanus	eutspa
brd_01jzvcg8h1rynpwq1w6dn6n5k3	Spanish sparrow	Passer hispaniolensis	spaspa1
brd_01jzvcg8h2hgqjwty07fv3mjd3	House sparrow	Passer domesticus	houspa
brd_01jzvcg8h3vanzpt7ttxmhrfgv	Alpine accentor	Prunella collaris	alpacc1
brd_01jzvcg8h4drstzsb6kaxbderz	Siberian accentor	Prunella montanella	sibacc
brd_01jzvcg8h57q6t8awnvzn5t82y	Dunnock	Prunella modularis	dunnoc1
brd_01jzvcg8h6s8ey0aszq53ewcxx	Yellow wagtail	Motacilla flava	eaywag1
brd_01jzvcg8h7920j1af2nyr3n2mw	Eastern yellow wagtail	Motacilla tschutschensis	eaywag
brd_01jzvcg8h87emzgbxz26cbgcg7	Citrine wagtail	Motacilla citreola	citwag
brd_01jzvcg8h9zwvw8b0vd65dz04a	Grey wagtail	Motacilla cinerea	grywag
brd_01jzvcg8haw29xaq37t7deqh5y	Pied wagtail	Motacilla alba	whiwag
brd_01jzvcg8hbtpap078y10r16chr	Richard's pipit	Anthus richardi	ricpip1
brd_01jzvcg8hcns0t59ry7nk781d7	Blyth's pipit	Anthus godlewskii	blypip1
brd_01jzvcg8hdcx27pbw55b4a0p9k	Tawny pipit	Anthus campestris	tawpip1
brd_01jzvcg8heamgm618etzmjfxwc	Meadow pipit	Anthus pratensis	meapip1
brd_01jzvcg8hf9wsa6s0kmkwqyd6z	Tree pipit	Anthus trivialis	trepip
brd_01jzvcg8hgb8zyt46awsz8f5pg	Olive-backed pipit	Anthus hodgsoni	olbpip
brd_01jzvcg8hh1s4z3nsqknpn7ttk	Pechora pipit	Anthus gustavi	pecpip
brd_01jzvcg8hjhwc9mxxpae5mycrs	Red-throated pipit	Anthus cervinus	retpip
brd_01jzvcg8hkkdxraapxqna9nf1j	Buff-bellied pipit	Anthus rubescens	amepip
brd_01jzvcg8hmqyndrqwbx0yp3qh6	Water pipit	Anthus spinoletta	watpip1
brd_01jzvcg8hnzqsmgb4k8yp5mj39	Rock pipit	Anthus petrosus	rocpip1
brd_01jzvcg8hpnj8atefyh11a73g8	Chaffinch	Fringilla coelebs	comcha
brd_01jzvcg8hq5b4bas5gkntweh3w	Brambling	Fringilla montifringilla	brambl
brd_01jzvcg8hrjk92vgt76gz45k6k	Evening grosbeak	Hesperiphona vespertina	evegro
brd_01jzvcg8hsafjn41p7paexayvp	Hawfinch	Coccothraustes coccothraustes	hawfin
brd_01jzvcg8htnw7bn530hhv8exx5	Pine grosbeak	Pinicola enucleator	pingro
brd_01jzvcg8hverxbgmp4dr696rbn	Bullfinch	Pyrrhula pyrrhula	eurbul
brd_01jzvcg8hwst64xjnx501r8ez6	Trumpeter finch	Bucanetes githagineus	trufin2
brd_01jzvcg8hxnwardek4wc276mbf	Common rosefinch	Carpodacus erythrinus	comros
