id	common_name	scientific_name	ebird_code
brd_01jzvcg825y0xv8kczqeev8xa3	Quail	Coturnix coturnix	comqua1
brd_01jzvcg826jddecqy129cj33m1	Red-legged partridge	Alectoris rufa	relpar1
brd_01jzvcg827xsgpcz763ph7a7zc	Common nighthawk	Chordeiles minor	comnig
brd_01jzvcg828xjy057nsf6yjy3zv	Red-necked nightjar	Caprimulgus ruficollis	rennig1
brd_01jzvcg829y878ht9n84gszxvt	Nightjar	Caprimulgus europaeus	eurnig1
brd_01jzvcg82an60086ghkvjg2ffk	Egyptian nightjar	Caprimulgus aegyptius	egynig1
brd_01jzvcg82b012ramvy5mv4qxzq	White-throated needletail	Hirundapus caudacutus	whtnee
brd_01jzvcg82c7c7kcm4h9wcbt10m	Chimney swift	Chaetura pelagica	chiswi
brd_01jzvcg82dsdqcnc8jqgzmrkj4	Alpine swift	Tachymarptis melba	alpswi1
brd_01jzvcg82exwf9f0jq1cbj9ve5	Swift	Apus apus	comswi
brd_01jzvcg82fe5k385s2ahz40mv0	Pallid swift	Apus pallidus	palswi3
brd_01jzvcg82gmmt7x396zqcy1tpn	Pacific swift	Apus pacificus	fotswi
brd_01jzvcg82h85dt8ctx2qshehmy	Little swift	Apus affinis	litswi1
brd_01jzvcg82j67zzhgpqyy40e7xx	White-rumped swift	Apus caffer	whrswi1
brd_01jzvcg82ke6n3fhr6crnzzrxc	Great bustard	Otis tarda	grebus1
brd_01jzvcg82mdwc5vkv1j1ewzhyz	MacQueen's bustard	Chlamydotis macqueenii	macbus1
brd_01jzvcg82n4g3g9hbtz6amz4tx	Little bustard	Tetrax tetrax	litbus1
brd_01jzvcg82pvybxgbfjv7bzmf1x	Great spotted cuckoo	Clamator glandarius	grscuc1
brd_01jzvcg82qd41axcpp71h3549v	Yellow-billed cuckoo	Coccyzus americanus	yebcuc
brd_01jzvcg82rgr3yy1ggmz8nf89z	Black-billed cuckoo	Coccyzus erythropthalmus	bkbcuc
brd_01jzvcg82s3pb5pzfaq6vb1v43	Cuckoo	Cuculus canorus	comcuc
brd_01jzvcg82tmvb5by623h3haepp	Pallas's sandgrouse	Syrrhaptes paradoxus	palsan1
brd_01jzvcg82vydvtj7h58fght7yk	Rock dove or feral pigeon	Columba livia	rocpig
brd_01jzvcg82w2zkb3w9ng97s0c19	Stock dove	Columba oenas	stodov1
brd_01jzvcg82xj7h6gmndm63qg7a7	Woodpigeon	Columba palumbus	cowpig1
brd_01jzvcg82yqf5q83yf80893kpj	Turtle dove	Streptopelia turtur	eutdov
brd_01jzvcg82zednkwwq70bbbcbdj	Oriental turtle dove	Streptopelia orientalis	ortdov
brd_01jzvcg830hert9dfqkmc410d2	Collared dove	Streptopelia decaocto	eucdov
brd_01jzvcg831gmxzrq07zhve0cz2	Mourning dove	Zenaida macroura	moudov
brd_01jzvcg832gc07vxrdab46xyzv	Water rail	Rallus aquaticus	watrai1
brd_01jzvcg833mwqj73wwr047akf4	Corncrake	Crex crex	corcra
brd_01jzvcg834wmb7z53m9py4r8tg	Sora rail	Porzana carolina	sora
brd_01jzvcg835h75h82da551ddndq	Spotted crake	Porzana porzana	spocra1
brd_01jzvcg836bwarv05gc642ddzg	Moorhen	Gallinula chloropus	commoo3
brd_01jzvcg837862dtpfrm7znw3pq	Coot	Fulica atra	eurcoo
brd_01jzvcg838g0fhqdfbjprxjgg7	American coot	Fulica americana	y00475
brd_01jzvcg839m5nq1nxdxaq8ksqy	Allen's gallinule	Porphyrio alleni	allgal1
brd_01jzvcg83ajd43x6x6bnq63v23	American purple gallinule	Porphyrio martinicus	
brd_01jzvcg83bxx5qvhgqr4s4638c	Western swamphen[115]	Porphyrio porphyrio	purswa1
brd_01jzvcg83cshhtg40rn8c9gzqz	Baillon's crake	Zapornia pusilla	baicra1
brd_01jzvcg83dhj78de4nn3kwsxcx	Little crake	Zapornia parva	litcra1
brd_01jzvcg83e2vdxph6e3wssyxxg	Sandhill crane	Antigone canadensis	sancra
brd_01jzvcg83fm0h3engd3zekwrt8	Crane	Grus grus	comcra
brd_01jzvcg83gnkb39t8epanmbxkf	Little grebe	Tachybaptus ruficollis	litgre1
brd_01jzvcg83h6azq7vvnmvqsgrze	Pied-billed grebe	Podilymbus podiceps	pibgre
brd_01jzvcg83j032y0v62ya7b51np	Red-necked grebe	Podiceps grisegena	rengre
brd_01jzvcg83kqasv64392tvze00t	Great crested grebe	Podiceps cristatus	grcgre1
brd_01jzvcg83merxhqvrtrfb2pc5f	Slavonian grebe	Podiceps auritus	horgre
brd_01jzvcg83nyqk2qr5m9sv4y051	Black-necked grebe	Podiceps nigricollis	eargre
brd_01jzvcg83pck6e5ar9adrtmne8	Stone-curlew	Burhinus oedicnemus	eutkne1
brd_01jzvcg83qqax782yc8b71dzqy	Oystercatcher	Haematopus ostralegus	euroys1
brd_01jzvcg83rxn3w87stagpxxt5m	Black-winged stilt	Himantopus himantopus	bkwsti
brd_01jzvcg83swp8gwreks7w066nq	Avocet	Recurvirostra avosetta	pieavo1
brd_01jzvcg83twn50j8bg9tdsg002	Grey plover	Pluvialis squatarola	bkbplo
brd_01jzvcg83vkgebjt9bj7fr7n8v	Golden plover	Pluvialis apricaria	eugplo
brd_01jzvcg83w7qty0abhaw1vs4gg	Pacific golden plover	Pluvialis fulva	pagplo
brd_01jzvcg83xd7wnr6mevrrf491n	American golden plover	Pluvialis dominica	amgplo
